0.00, 58.50, 73.50, 63.50, 63.00, 67.00, 54.50, 59.00, 93.00, 72.00, 70.00, 80.50, 55.00, 52.00, 61.00, 55.00
68.00, 0.00, 89.50, 78.50, 68.33, 71.50, 68.50, 69.50, 75.00, 67.00, 61.00, 66.00, 72.00, 67.00, 61.00, 56.00
64.00, 66.50, 0.00, 75.00, 57.00, 64.00, 58.00, 50.00, 79.00, 64.00, 67.00, 68.00, 51.00, 59.00, 75.00, 68.00
46.50, 66.00, 86.00, 0.00, 62.00, 69.00, 55.00, 57.00, 83.00, 74.00, 80.00, 61.00, 67.50, 57.50, 69.00, 59.00
54.00, 72.00, 61.00, 59.00, 0.00, 76.00, 81.00, 62.00, 77.00, 55.00, 73.00, 86.00, 88.00, 73.00, 74.00, 62.50
60.00, 71.00, 94.00, 60.00, 63.00, 0.00, 77.00, 81.00, 86.50, 73.00, 72.50, 59.00, 68.00, 71.00, 70.00, 73.00
77.50, 71.50, 83.00, 69.00, 83.00, 68.50, 0.00, 56.00, 94.00, 76.00, 60.00, 78.00, 65.00, 58.00, 93.00, 58.00
71.00, 76.00, 80.00, 72.00, 59.00, 89.00, 51.00, 0.00, 83.00, 65.00, 74.00, 66.50, 59.00, 74.00, 58.50, 71.00
81.00, 57.00, 76.00, 81.00, 66.00, 64.00, 93.00, 79.00, 0.00, 73.50, 71.00, 70.00, 65.00, 74.00, 83.00, 63.00
56.00, 53.00, 68.00, 65.00, 37.00, 65.00, 69.00, 62.00, 79.50, 0.00, 68.67, 71.00, 59.50, 80.00, 71.00, 54.00
53.00, 59.00, 78.00, 75.00, 54.00, 74.50, 48.00, 53.00, 81.00, 66.33, 0.00, 64.00, 84.00, 73.00, 57.00, 44.00
63.50, 61.00, 78.50, 55.00, 77.00, 58.00, 55.00, 52.50, 71.00, 62.00, 55.00, 0.00, 56.00, 49.00, 70.50, 46.00
55.00, 89.00, 76.00, 56.50, 63.00, 80.00, 66.50, 60.00, 67.00, 61.50, 70.00, 72.00, 0.00, 66.00, 81.00, 81.00
67.00, 68.50, 107.00, 57.00, 69.00, 66.00, 70.00, 66.00, 81.00, 84.00, 64.50, 72.00, 77.50, 0.00, 70.50, 63.00
72.00, 59.00, 77.00, 66.00, 88.00, 75.00, 72.00, 52.00, 68.00, 78.50, 60.00, 76.00, 68.00, 73.50, 0.00, 66.00
66.00, 65.00, 74.50, 65.00, 63.00, 67.50, 72.00, 62.00, 93.00, 65.00, 56.00, 56.00, 71.00, 52.00, 50.00, 0.00
