0.00, 76.00, 72.00, 88.50, 82.00, 67.00, 83.00, 83.50, 61.00, 63.00
73.50, 0.00, 89.50, 76.00, 63.00, 57.00, 73.33, 90.00, 64.50, 81.50
62.50, 73.00, 0.00, 58.00, 58.50, 71.50, 70.00, 74.00, 60.50, 64.50
81.50, 70.00, 71.33, 0.00, 83.50, 70.50, 62.50, 92.50, 62.67, 75.50
74.50, 64.00, 64.50, 79.00, 0.00, 80.50, 62.50, 86.67, 73.50, 73.33
75.33, 60.00, 78.50, 74.00, 77.50, 0.00, 62.00, 86.50, 70.00, 71.00
76.50, 74.33, 79.00, 70.50, 81.00, 75.50, 0.00, 70.50, 67.67, 84.33
57.00, 64.50, 77.50, 70.00, 80.33, 70.50, 60.50, 0.00, 58.00, 74.50
68.50, 84.00, 84.50, 73.33, 86.00, 74.67, 70.33, 70.50, 0.00, 89.00
81.00, 77.00, 85.00, 80.00, 84.67, 80.00, 82.67, 82.00, 77.00, 0.00
