0.00, 63.50, 75.00, 49.00, 51.00, 71.00, 50.50, 61.00, 55.50, 65.00, 65.00, 61.00, 52.00, 55.00, 55.00
64.50, 0.00, 90.00, 78.00, 58.00, 76.00, 65.00, 61.00, 72.50, 66.00, 78.00, 60.00, 65.00, 66.00, 66.00
70.00, 73.50, 0.00, 66.00, 58.00, 78.00, 74.50, 60.50, 83.00, 66.00, 72.00, 73.00, 68.00, 57.00, 57.00
62.00, 79.00, 90.00, 0.00, 53.00, 55.50, 63.00, 45.00, 74.00, 66.50, 74.00, 58.00, 67.50, 57.67, 57.67
67.00, 73.00, 79.00, 51.00, 0.00, 70.00, 81.00, 64.00, 80.00, 68.00, 76.00, 61.50, 72.00, 68.00, 68.00
69.00, 82.00, 89.00, 52.00, 51.00, 0.00, 68.50, 76.50, 81.00, 60.00, 68.00, 66.50, 69.00, 56.50, 56.50
64.00, 58.00, 80.50, 47.00, 72.67, 68.50, 0.00, 51.00, 54.00, 69.00, 93.00, 73.00, 64.50, 47.00, 47.00
61.50, 69.00, 87.00, 73.00, 61.00, 68.00, 42.00, 0.00, 68.00, 62.00, 56.00, 64.00, 63.00, 62.00, 62.00
49.00, 69.00, 73.00, 65.00, 62.00, 71.00, 71.00, 64.00, 0.00, 76.00, 71.50, 76.00, 62.00, 62.50, 62.50
56.00, 54.00, 72.50, 57.00, 48.00, 54.00, 63.50, 67.00, 72.00, 0.00, 56.50, 70.00, 59.00, 53.00, 53.00
59.00, 67.00, 73.00, 52.00, 59.50, 54.00, 74.00, 46.00, 60.50, 53.00, 0.00, 50.50, 67.00, 64.00, 64.00
53.00, 64.50, 83.00, 61.00, 39.50, 48.50, 65.00, 44.00, 66.00, 67.00, 44.50, 0.00, 54.00, 44.00, 44.00
53.00, 71.00, 75.00, 53.50, 58.00, 67.00, 53.50, 47.00, 59.00, 64.00, 71.00, 69.00, 0.00, 58.00, 58.00
57.00, 58.00, 78.00, 47.67, 61.33, 63.00, 63.00, 58.50, 78.00, 78.00, 75.50, 55.00, 77.00, 0.00, 0.00
50.00, 70.00, 94.00, 67.00, 64.00, 60.00, 60.00, 53.50, 59.00, 71.00, 65.00, 64.50, 82.00, 68.00, 68.00
