0.00, 80.50, 72.00, 63.50, 47.00, 80.00, 73.33, 68.33, 63.33, 63.33
77.00, 0.00, 75.50, 72.50, 69.50, 80.33, 72.00, 68.50, 70.00, 70.00
70.00, 82.00, 0.00, 81.00, 74.50, 87.50, 81.00, 70.00, 83.00, 83.00
71.00, 73.50, 70.67, 0.00, 55.00, 73.50, 72.50, 64.50, 64.50, 64.50
66.50, 78.50, 78.50, 58.50, 0.00, 77.00, 74.00, 60.00, 51.00, 51.00
79.00, 71.00, 71.50, 64.00, 53.50, 0.00, 70.50, 66.00, 68.50, 68.50
59.00, 58.50, 58.50, 51.00, 56.00, 73.50, 0.00, 60.00, 47.50, 47.50
56.33, 71.50, 59.00, 63.50, 58.00, 75.50, 67.50, 0.00, 74.50, 74.50
72.33, 83.50, 83.00, 81.00, 66.50, 90.00, 81.00, 78.50, 0.00, 0.00
74.67, 87.33, 76.33, 80.00, 72.50, 83.00, 84.00, 80.50, 88.50, 88.50
