0.00, 0.50, 0.49, 0.42, 0.50, 0.46, 0.47, 0.54, 0.50, 0.46, 0.50, 0.50
0.50, 0.00, 0.51, 0.50, 0.48, 0.55, 0.49, 0.63, 0.48, 0.48, 0.48, 0.48
0.51, 0.49, 0.00, 0.55, 0.49, 0.51, 0.54, 0.56, 0.53, 0.48, 0.52, 0.52
0.58, 0.50, 0.45, 0.00, 0.51, 0.57, 0.56, 0.53, 0.50, 0.47, 0.48, 0.48
0.50, 0.52, 0.51, 0.49, 0.00, 0.52, 0.56, 0.52, 0.50, 0.54, 0.50, 0.50
0.54, 0.45, 0.49, 0.43, 0.48, 0.00, 0.52, 0.55, 0.48, 0.49, 0.50, 0.50
0.53, 0.51, 0.46, 0.44, 0.44, 0.48, 0.00, 0.45, 0.46, 0.50, 0.43, 0.43
0.46, 0.37, 0.44, 0.47, 0.48, 0.45, 0.55, 0.00, 0.46, 0.48, 0.47, 0.47
0.50, 0.52, 0.47, 0.50, 0.50, 0.52, 0.54, 0.54, 0.00, 0.50, 0.46, 0.46
0.54, 0.52, 0.52, 0.53, 0.46, 0.51, 0.50, 0.52, 0.50, 0.00, 0.49, 0.49
0.50, 0.52, 0.48, 0.52, 0.50, 0.50, 0.57, 0.54, 0.54, 0.51, 0.00, 0.00
0.59, 0.49, 0.49, 0.48, 0.50, 0.54, 0.56, 0.55, 0.46, 0.49, 0.50, 0.50
