0.00, 0.45, 0.35, 0.46, 0.59, 0.59, 0.57, 0.00, 0.25, 0.00, 0.00
0.55, 0.00, 0.19, 0.23, 0.28, 0.00, 0.00, 0.30, 0.30, 0.29, 0.29
0.65, 0.81, 0.00, 0.00, 0.46, 0.38, 0.63, 0.70, 0.92, 0.00, 0.00
0.54, 0.77, 0.00, 0.00, 0.74, 0.10, 0.63, 0.28, 0.25, 0.37, 0.37
0.41, 0.72, 0.54, 0.26, 0.00, 0.00, 0.19, 0.00, 0.00, 0.10, 0.10
0.41, 0.00, 0.62, 0.90, 0.00, 0.00, 0.59, 0.47, 0.60, 0.38, 0.38
0.43, 0.00, 0.37, 0.37, 0.81, 0.41, 0.00, 0.44, 0.00, 0.52, 0.52
0.00, 0.70, 0.30, 0.72, 0.00, 0.53, 0.56, 0.00, 0.30, 0.47, 0.47
0.75, 0.70, 0.08, 0.75, 1.00, 0.40, 0.00, 0.70, 0.00, 0.29, 0.29
0.00, 0.71, 0.00, 0.63, 0.90, 0.62, 0.48, 0.53, 0.71, 0.00, 0.00
0.45, 0.52, 0.46, 0.00, 0.35, 0.12, 0.44, 0.44, 0.00, 0.37, 0.37
