0.00, 0.44, 0.47, 0.49, 0.48, 0.50, 0.42, 0.57, 0.48, 0.45, 0.45
0.56, 0.00, 0.50, 0.53, 0.63, 0.54, 0.56, 0.64, 0.53, 0.51, 0.51
0.53, 0.50, 0.00, 0.55, 0.63, 0.49, 0.47, 0.60, 0.50, 0.52, 0.52
0.51, 0.47, 0.45, 0.00, 0.51, 0.49, 0.48, 0.55, 0.46, 0.51, 0.51
0.52, 0.37, 0.37, 0.49, 0.00, 0.51, 0.44, 0.53, 0.47, 0.44, 0.44
0.50, 0.46, 0.51, 0.51, 0.49, 0.00, 0.43, 0.62, 0.49, 0.51, 0.51
0.58, 0.44, 0.53, 0.52, 0.56, 0.57, 0.00, 0.57, 0.52, 0.60, 0.60
0.43, 0.36, 0.40, 0.45, 0.47, 0.38, 0.43, 0.00, 0.40, 0.38, 0.38
0.52, 0.47, 0.50, 0.54, 0.53, 0.51, 0.48, 0.60, 0.00, 0.47, 0.47
0.55, 0.49, 0.48, 0.49, 0.56, 0.49, 0.40, 0.62, 0.53, 0.00, 0.00
0.41, 0.53, 0.54, 0.50, 0.53, 0.49, 0.45, 0.54, 0.48, 0.51, 0.51
