0.00, 0.50, 0.54, 0.53, 0.44, 0.48, 0.48, 0.50, 0.50, 0.51, 0.51
0.50, 0.00, 0.54, 0.57, 0.50, 0.50, 0.49, 0.55, 0.48, 0.51, 0.51
0.46, 0.46, 0.00, 0.46, 0.40, 0.47, 0.44, 0.44, 0.46, 0.47, 0.47
0.47, 0.43, 0.54, 0.00, 0.46, 0.46, 0.44, 0.48, 0.50, 0.50, 0.50
0.56, 0.50, 0.60, 0.54, 0.00, 0.52, 0.54, 0.52, 0.48, 0.55, 0.55
0.52, 0.50, 0.53, 0.54, 0.48, 0.00, 0.50, 0.51, 0.51, 0.56, 0.56
0.52, 0.51, 0.56, 0.56, 0.46, 0.50, 0.00, 0.52, 0.56, 0.51, 0.51
0.50, 0.45, 0.56, 0.52, 0.48, 0.49, 0.48, 0.00, 0.50, 0.50, 0.50
0.50, 0.52, 0.54, 0.50, 0.52, 0.49, 0.44, 0.50, 0.00, 0.49, 0.49
0.49, 0.49, 0.53, 0.50, 0.45, 0.44, 0.49, 0.50, 0.51, 0.00, 0.00
0.51, 0.51, 0.56, 0.52, 0.45, 0.53, 0.48, 0.57, 0.52, 0.46, 0.46
