0.00, 91.00, 69.00, 61.50, 71.67, 89.00, 71.00, 69.00, 66.50, 76.00, 98.00, 98.00
95.00, 0.00, 62.00, 70.00, 73.00, 58.00, 79.00, 75.00, 64.00, 52.00, 76.00, 76.00
49.00, 65.00, 0.00, 47.00, 74.00, 60.00, 58.00, 61.00, 59.67, 64.50, 70.00, 70.00
59.00, 72.00, 60.00, 0.00, 74.00, 58.00, 72.00, 52.50, 73.00, 58.00, 54.00, 54.00
74.00, 74.00, 80.00, 71.00, 0.00, 75.50, 80.50, 81.00, 90.00, 81.67, 71.00, 71.00
68.00, 55.00, 66.00, 60.00, 48.00, 0.00, 65.50, 59.50, 50.50, 60.00, 58.50, 58.50
77.00, 70.33, 76.00, 66.00, 79.00, 69.50, 0.00, 53.00, 64.00, 74.00, 74.50, 74.50
53.00, 81.00, 87.50, 51.00, 85.00, 67.50, 57.00, 0.00, 62.67, 58.00, 71.50, 71.50
66.00, 60.00, 77.67, 57.00, 98.00, 69.50, 92.00, 55.00, 0.00, 60.50, 72.00, 72.00
75.50, 76.00, 75.50, 69.00, 83.33, 88.00, 75.00, 76.00, 61.00, 0.00, 76.00, 76.00
84.00, 77.50, 68.00, 57.00, 67.00, 62.00, 78.50, 69.50, 62.00, 71.00, 0.00, 0.00
79.00, 69.00, 71.50, 69.00, 76.00, 68.00, 88.00, 58.00, 73.50, 76.00, 91.00, 91.00
