0.00, 54.00, 85.00, 71.50, 70.00, 68.00, 72.00, 62.00, 72.50, 67.50, 72.00, 70.50, 56.00
62.00, 0.00, 69.50, 70.00, 71.00, 76.50, 81.00, 57.50, 85.50, 71.00, 66.50, 81.50, 63.00
56.00, 66.50, 0.00, 95.00, 68.50, 67.00, 70.00, 58.00, 57.00, 71.00, 67.00, 60.00, 52.50
55.00, 66.00, 96.00, 0.00, 65.00, 53.00, 81.00, 72.00, 69.00, 68.50, 56.00, 67.00, 50.50
75.00, 74.00, 80.50, 71.00, 0.00, 68.00, 70.00, 84.33, 79.00, 80.00, 74.50, 71.50, 82.00
70.00, 69.00, 71.00, 63.00, 66.00, 0.00, 72.00, 63.00, 63.00, 68.50, 79.00, 63.00, 56.00
74.00, 83.00, 72.50, 80.00, 73.00, 79.50, 0.00, 69.00, 74.00, 59.00, 70.00, 60.50, 61.00
50.00, 78.50, 63.00, 65.00, 80.00, 83.00, 67.00, 0.00, 72.00, 59.00, 81.00, 78.00, 49.00
64.50, 79.50, 55.00, 76.00, 62.00, 66.00, 80.00, 51.00, 0.00, 80.00, 68.00, 85.00, 65.50
75.50, 60.00, 60.00, 80.00, 79.00, 68.50, 70.00, 73.00, 75.00, 0.00, 63.00, 75.00, 65.00
70.00, 86.50, 64.00, 77.00, 79.50, 91.50, 76.00, 75.50, 75.00, 77.00, 0.00, 76.00, 92.00
69.50, 89.00, 73.00, 79.00, 68.00, 71.00, 65.00, 82.00, 92.00, 91.00, 70.50, 0.00, 60.50
58.00, 72.00, 63.50, 55.00, 53.50, 66.00, 68.00, 57.00, 68.50, 45.00, 73.00, 68.00, 0.00
