0.00, 0.48, 0.53, 0.47, 0.49, 0.51, 0.55, 0.54, 0.55, 0.52, 0.49, 0.52, 0.48, 0.48
0.52, 0.00, 0.52, 0.56, 0.52, 0.60, 0.53, 0.60, 0.49, 0.53, 0.50, 0.48, 0.59, 0.59
0.47, 0.48, 0.00, 0.47, 0.45, 0.53, 0.52, 0.48, 0.49, 0.45, 0.50, 0.53, 0.54, 0.54
0.53, 0.44, 0.53, 0.00, 0.48, 0.54, 0.52, 0.53, 0.48, 0.46, 0.49, 0.41, 0.47, 0.47
0.51, 0.48, 0.55, 0.52, 0.00, 0.55, 0.64, 0.54, 0.52, 0.51, 0.47, 0.46, 0.51, 0.51
0.49, 0.40, 0.47, 0.46, 0.45, 0.00, 0.47, 0.48, 0.44, 0.52, 0.43, 0.46, 0.51, 0.51
0.45, 0.47, 0.48, 0.48, 0.36, 0.53, 0.00, 0.45, 0.45, 0.42, 0.53, 0.41, 0.53, 0.53
0.46, 0.40, 0.52, 0.47, 0.46, 0.52, 0.55, 0.00, 0.49, 0.43, 0.48, 0.45, 0.47, 0.47
0.45, 0.51, 0.51, 0.52, 0.48, 0.56, 0.55, 0.51, 0.00, 0.54, 0.48, 0.47, 0.60, 0.60
0.48, 0.47, 0.55, 0.54, 0.49, 0.48, 0.58, 0.57, 0.46, 0.00, 0.45, 0.49, 0.56, 0.56
0.51, 0.50, 0.50, 0.51, 0.53, 0.57, 0.47, 0.52, 0.52, 0.55, 0.00, 0.53, 0.52, 0.52
0.48, 0.52, 0.47, 0.59, 0.54, 0.54, 0.59, 0.55, 0.53, 0.51, 0.47, 0.00, 0.55, 0.55
0.52, 0.41, 0.46, 0.53, 0.49, 0.49, 0.47, 0.53, 0.40, 0.44, 0.48, 0.45, 0.00, 0.00
0.55, 0.50, 0.57, 0.62, 0.50, 0.54, 0.56, 0.51, 0.55, 0.53, 0.53, 0.48, 0.59, 0.59
