0.00, 67.00, 76.00, 68.00, 68.00, 59.00, 61.00, 73.00, 75.00, 62.00, 77.00, 72.00, 58.33, 83.00, 52.00, 57.00
71.00, 0.00, 67.00, 89.00, 74.00, 54.00, 74.00, 66.00, 58.00, 64.50, 83.00, 52.00, 56.50, 69.50, 61.00, 63.00
70.00, 88.00, 0.00, 72.00, 96.00, 80.00, 70.00, 66.00, 72.00, 78.00, 75.00, 60.00, 52.00, 71.00, 62.00, 65.50
49.00, 87.00, 56.00, 0.00, 75.00, 57.00, 64.00, 66.00, 62.00, 55.00, 65.50, 66.00, 64.00, 84.00, 63.00, 65.00
63.00, 68.00, 51.00, 82.00, 0.00, 60.00, 53.00, 73.00, 66.00, 55.00, 76.00, 59.00, 73.00, 55.00, 65.00, 66.00
56.00, 82.00, 81.00, 79.00, 68.00, 0.00, 70.50, 75.50, 66.00, 64.00, 78.00, 59.00, 58.00, 53.00, 57.00, 56.00
56.00, 65.00, 72.00, 97.00, 89.00, 82.00, 0.00, 60.00, 72.00, 71.00, 69.00, 76.00, 54.00, 74.00, 69.00, 63.00
62.00, 65.00, 76.00, 79.00, 77.00, 76.50, 61.00, 0.00, 78.00, 70.00, 94.00, 80.00, 62.00, 80.50, 65.00, 77.00
68.00, 50.00, 75.00, 67.00, 63.00, 65.00, 65.00, 59.50, 0.00, 61.00, 61.00, 44.00, 82.00, 70.00, 64.00, 42.00
47.00, 72.00, 74.00, 79.00, 72.00, 73.00, 59.00, 65.00, 64.00, 0.00, 83.00, 55.00, 46.00, 64.00, 84.00, 73.00
58.00, 104.00, 63.00, 73.00, 72.00, 59.00, 66.00, 99.00, 67.00, 80.00, 0.00, 73.00, 57.00, 81.00, 65.00, 64.00
66.00, 40.00, 54.00, 74.00, 74.00, 71.00, 64.00, 62.00, 81.00, 61.00, 64.00, 0.00, 53.00, 70.00, 82.50, 58.50
69.00, 74.00, 81.00, 73.00, 90.00, 66.00, 78.00, 70.00, 80.00, 56.00, 67.00, 70.00, 0.00, 54.00, 69.00, 66.00
71.00, 80.00, 72.00, 83.00, 74.00, 55.00, 82.00, 78.50, 76.00, 71.00, 78.00, 69.00, 64.00, 0.00, 84.00, 52.00
84.00, 68.00, 74.00, 90.00, 81.00, 84.00, 61.00, 78.50, 70.00, 83.50, 72.00, 87.00, 59.00, 76.00, 0.00, 75.00
62.00, 57.00, 62.50, 73.00, 79.00, 71.00, 70.00, 72.00, 55.00, 71.00, 66.00, 53.00, 77.00, 57.00, 71.00, 0.00
