0.00, 0.51, 0.54, 0.54, 0.56, 0.55, 0.52, 0.49, 0.51, 0.51, 0.46, 0.49, 0.49
0.49, 0.00, 0.52, 0.45, 0.51, 0.45, 0.49, 0.54, 0.45, 0.50, 0.47, 0.51, 0.51
0.46, 0.48, 0.00, 0.45, 0.52, 0.49, 0.37, 0.49, 0.48, 0.46, 0.45, 0.41, 0.41
0.46, 0.55, 0.55, 0.00, 0.53, 0.54, 0.50, 0.55, 0.53, 0.53, 0.52, 0.47, 0.47
0.44, 0.49, 0.48, 0.47, 0.00, 0.51, 0.51, 0.51, 0.53, 0.46, 0.49, 0.49, 0.49
0.45, 0.55, 0.51, 0.46, 0.49, 0.00, 0.46, 0.54, 0.44, 0.48, 0.50, 0.49, 0.49
0.48, 0.51, 0.63, 0.50, 0.49, 0.54, 0.00, 0.51, 0.49, 0.49, 0.50, 0.49, 0.49
0.51, 0.46, 0.51, 0.45, 0.49, 0.46, 0.49, 0.00, 0.61, 0.53, 0.48, 0.50, 0.50
0.49, 0.55, 0.52, 0.47, 0.47, 0.56, 0.51, 0.39, 0.00, 0.48, 0.55, 0.43, 0.43
0.49, 0.50, 0.54, 0.47, 0.54, 0.52, 0.51, 0.47, 0.52, 0.00, 0.44, 0.49, 0.49
0.54, 0.53, 0.55, 0.48, 0.51, 0.50, 0.50, 0.52, 0.45, 0.56, 0.00, 0.43, 0.43
0.51, 0.49, 0.59, 0.53, 0.51, 0.51, 0.51, 0.50, 0.57, 0.51, 0.57, 0.00, 0.00
0.55, 0.55, 0.56, 0.53, 0.55, 0.52, 0.48, 0.57, 0.55, 0.56, 0.48, 0.52, 0.52
