0.00, 0.27, 0.54, 0.69, 0.72, 0.00, 0.00, 0.46, 0.45, 0.59, 0.30, 0.30
0.73, 0.00, 0.00, 0.81, 0.00, 0.64, 0.33, 0.54, 0.60, 0.51, 0.69, 0.69
0.46, 0.00, 0.00, 0.37, 0.23, 0.26, 0.17, 0.21, 0.31, 0.00, 0.29, 0.29
0.31, 0.19, 0.63, 0.00, 0.22, 0.28, 0.00, 0.34, 0.38, 0.41, 0.11, 0.11
0.28, 0.00, 0.77, 0.78, 0.00, 0.51, 0.43, 0.75, 0.00, 0.68, 0.65, 0.65
0.00, 0.36, 0.74, 0.72, 0.49, 0.00, 0.38, 0.00, 0.31, 0.52, 0.28, 0.28
0.00, 0.67, 0.83, 0.00, 0.57, 0.62, 0.00, 0.71, 0.46, 0.44, 0.53, 0.53
0.54, 0.46, 0.79, 0.66, 0.25, 0.00, 0.29, 0.00, 0.71, 0.56, 0.57, 0.57
0.55, 0.40, 0.69, 0.62, 0.00, 0.69, 0.54, 0.29, 0.00, 0.86, 0.00, 0.00
0.41, 0.49, 0.00, 0.59, 0.32, 0.48, 0.56, 0.44, 0.14, 0.00, 0.00, 0.00
0.70, 0.31, 0.71, 0.89, 0.35, 0.72, 0.47, 0.43, 0.00, 0.00, 0.00, 0.00
0.59, 0.28, 0.67, 0.00, 0.38, 0.32, 0.24, 0.00, 0.59, 0.57, 0.39, 0.39
