Year, specR, spec2R 
2002,0.892857142857143,0.892857142857143
2003,0.775685770700441,0.775685770700441
2004,0.857142857142857,0.857142857142857
2005,0.812660458123058,0.812660458123058
2006,0.821428571428571,0.821428571428571
2007,0.768051357282404,0.768051357282404
2008,0.857142857142857,0.857142857142857
2009,0.863031627826808,0.863031627826808
2010,0.801809993990179,0.801809993990179
2011,0.788243272940999,0.787688664370670
2012,0.875000000000000,0.875000000000000
2013,0.875000000000000,0.875000000000000
2014,0.784100699897444,0.783868256418479
2015,0.833333333333333,0.833333333333333
2016,0.805700990394974,0.805700990394974
2017,0.871768472253402,0.871768472253402
2018,0.893970036780310,0.893970036780310
2019,0.882660228498243,0.887825278347515
