Year, specR, connR 
1995, 0.946275644250854, 0.948625098212593
1996, 0.938053097345133, 0.941445793896421
1997, 0.943478260869565, 0.947802732716896
1998, 0.939887305956298, 0.943945262194247
1999, 0.948936170212766, 0.952602537410946
2000, 0.944870273604205, 0.948910894373544
2001, 0.941422620014648, 0.945316168305089
2002, 0.941422594142259, 0.944618608089978
2003, 0.936668909227803, 0.940462733980790
2004, 0.945378151260504, 0.948759295681610
2005, 0.948600840074827, 0.950626232981443
2006, 0.945833186603786, 0.948077415412833
2007, 0.950086975407551, 0.951377840222100
2008, 0.946449388647002, 0.948069317811233
2009, 0.942622950819672, 0.945417950970040
2010, 0.946502057613169, 0.949940243834926
2011, 0.942908684928338, 0.944902046740501
2012, 0.946998742167383, 0.949711664294681
2013, 0.944223107569721, 0.947528626613198
2014, 0.944458954929955, 0.946904754150283
2015, 0.944528301268495, 0.945778750795901
2016, 0.944455208864535, 0.945901326446469
2017, 0.944628409252107, 0.946483068588143
2018, 0.940944881889764, 0.943237690524293
