0.00, 0.00, 0.00, 0.00, 0.00, 0.37, 0.13, 0.34, 0.37, 0.17, 0.38, 0.38
0.00, 0.00, 0.60, 0.63, 0.73, 0.61, 0.63, 0.00, 0.54, 0.33, 0.60, 0.60
1.00, 0.40, 0.00, 0.88, 0.07, 0.59, 0.23, 0.00, 0.67, 0.00, 0.47, 0.47
0.00, 0.37, 0.12, 0.00, 0.13, 0.47, 0.12, 0.21, 0.00, 0.00, 0.00, 0.00
0.00, 0.27, 0.93, 0.87, 0.00, 0.89, 0.40, 0.49, 0.00, 0.00, 0.44, 0.44
0.63, 0.39, 0.41, 0.53, 0.11, 0.00, 0.08, 0.00, 0.52, 0.31, 0.00, 0.00
0.87, 0.37, 0.77, 0.88, 0.60, 0.92, 0.00, 0.67, 0.00, 0.00, 0.00, 0.00
0.66, 0.00, 0.00, 0.79, 0.51, 0.00, 0.33, 0.00, 0.45, 0.82, 0.76, 0.76
0.63, 0.46, 0.33, 0.00, 0.00, 0.48, 0.00, 0.55, 0.00, 0.27, 0.25, 0.25
0.83, 0.67, 0.00, 1.00, 0.00, 0.69, 0.00, 0.18, 0.73, 0.00, 0.75, 0.75
0.62, 0.40, 0.53, 0.00, 0.56, 0.00, 0.00, 0.24, 0.75, 0.25, 0.00, 0.00
0.77, 0.00, 0.00, 0.48, 0.67, 0.00, 0.43, 0.30, 0.62, 0.14, 1.00, 1.00
