0.00, 0.46, 0.45, 0.51, 0.45, 0.49, 0.46, 0.48, 0.50, 0.50
0.54, 0.00, 0.46, 0.50, 0.48, 0.51, 0.51, 0.53, 0.53, 0.53
0.55, 0.54, 0.00, 0.59, 0.53, 0.55, 0.53, 0.52, 0.53, 0.53
0.49, 0.50, 0.41, 0.00, 0.44, 0.57, 0.47, 0.51, 0.48, 0.48
0.55, 0.52, 0.47, 0.56, 0.00, 0.53, 0.48, 0.55, 0.54, 0.54
0.51, 0.49, 0.45, 0.43, 0.47, 0.00, 0.48, 0.50, 0.50, 0.50
0.54, 0.49, 0.47, 0.53, 0.52, 0.52, 0.00, 0.56, 0.54, 0.54
0.52, 0.47, 0.48, 0.49, 0.45, 0.50, 0.44, 0.00, 0.49, 0.49
0.50, 0.47, 0.47, 0.52, 0.46, 0.50, 0.46, 0.51, 0.00, 0.00
0.58, 0.55, 0.49, 0.55, 0.53, 0.50, 0.52, 0.53, 0.55, 0.55
