0.00, 0.49, 0.54, 0.50, 0.45, 0.50, 0.55, 0.49, 0.47, 0.53, 0.53
0.51, 0.00, 0.53, 0.52, 0.44, 0.52, 0.54, 0.47, 0.47, 0.54, 0.54
0.46, 0.47, 0.00, 0.42, 0.44, 0.45, 0.48, 0.41, 0.43, 0.47, 0.47
0.50, 0.48, 0.58, 0.00, 0.43, 0.50, 0.52, 0.51, 0.46, 0.49, 0.49
0.55, 0.56, 0.56, 0.57, 0.00, 0.54, 0.61, 0.57, 0.55, 0.55, 0.55
0.50, 0.48, 0.55, 0.50, 0.46, 0.00, 0.54, 0.44, 0.44, 0.50, 0.50
0.45, 0.46, 0.52, 0.48, 0.39, 0.46, 0.00, 0.47, 0.50, 0.49, 0.49
0.51, 0.53, 0.59, 0.49, 0.43, 0.56, 0.53, 0.00, 0.48, 0.54, 0.54
0.53, 0.53, 0.57, 0.54, 0.45, 0.56, 0.50, 0.52, 0.00, 0.53, 0.53
0.47, 0.46, 0.53, 0.51, 0.45, 0.50, 0.51, 0.46, 0.47, 0.00, 0.00
0.44, 0.48, 0.53, 0.48, 0.40, 0.48, 0.56, 0.49, 0.51, 0.52, 0.52
