734034,20090919,    10,  1,  34,    12, -1,  24
734048,20091003,     5,  0,  24,     3,  0,  23
734053,20091008,     7, -1,  27,     6,  1,  12
734055,20091010,    12,  1,  66,     5, -1,  14
734055,20091010,     8,  1,  33,     1, -1,   7
734055,20091010,     9, -1,  36,    11,  1,  31
734055,20091010,     4,  1,  41,     3, -1,  36
734055,20091010,    10,  1,  38,     2, -1,  14
734062,20091017,     5,  1,  62,    11, -1,  14
734062,20091017,     3,  1,  24,     1, -1,  10
734062,20091017,    10,  0,  16,     8,  0,  13
734062,20091017,     9,  1,  33,     6, -1,  17
734062,20091017,    12, -1,  31,     7,  1,  10
734062,20091017,     2,  1,  34,     4, -1,  30
734069,20091024,     9, -1,  34,     1,  1,   7
734069,20091024,     3, -1,   9,     7,  1,   7
734069,20091024,    11, -1,  52,    12,  1,  30
734069,20091024,    10, -1,  41,     6,  1,   7
734069,20091024,     5,  1,  20,     2, -1,   6
734069,20091024,     8, -1,  35,     4,  1,  13
734076,20091031,    11,  1,  35,     3, -1,  10
734076,20091031,    10, -1,  41,     9,  1,  14
734076,20091031,     7, -1,  20,     1,  1,  10
734076,20091031,    12,  1,  42,     4, -1,  21
734076,20091031,     8,  1,  42,     5, -1,  30
734076,20091031,     6, -1,  36,     2,  1,  17
734083,20091107,     7,  1,  10,     8, -1,   3
734083,20091107,     1, -1,  40,     6,  1,  32
734083,20091107,     5,  1,  17,     4, -1,  10
734083,20091107,     9, -1,  34,     3,  1,   8
734083,20091107,     2,  1,  35,    11, -1,  34
734090,20091114,    10, -1,  47,     1,  1,  14
734090,20091114,     6, -1,  38,     5,  1,  12
734090,20091114,     7, -1,  31,     4,  1,  17
734090,20091114,     9,  1,  24,    12, -1,  17
734090,20091114,     3,  1,  17,     2, -1,  10
734090,20091114,     8,  1,  65,    11, -1,  10
734095,20091119,     9,  1,  31,     2, -1,  28
734097,20091121,    10,  1,  51,     4, -1,  20
734097,20091121,    12,  1,  41,     8, -1,  13
734097,20091121,     7,  1,  17,     5, -1,   3
734097,20091121,    11,  1,  38,     1, -1,   3
734097,20091121,     6,  1,  34,     3, -1,  24
734102,20091126,    10, -1,  49,    11,  1,  39
734103,20091127,     7, -1,  28,     2,  1,  20
734104,20091128,     8,  1,  27,     9, -1,   0
734104,20091128,     6,  0,  41,     4,  0,  39
734104,20091128,    12,  0,  20,     1,  0,  13
734111,20091205,    10,  0,  13,     7,  0,  12
