0.00, 0.54, 0.47, 0.48, 0.55, 0.51, 0.50, 0.54, 0.51, 0.51
0.46, 0.00, 0.52, 0.49, 0.50, 0.50, 0.46, 0.50, 0.50, 0.50
0.53, 0.48, 0.00, 0.50, 0.52, 0.50, 0.49, 0.51, 0.45, 0.45
0.52, 0.51, 0.50, 0.00, 0.51, 0.46, 0.44, 0.51, 0.46, 0.46
0.45, 0.50, 0.48, 0.49, 0.00, 0.46, 0.41, 0.49, 0.45, 0.45
0.49, 0.50, 0.50, 0.54, 0.54, 0.00, 0.48, 0.53, 0.45, 0.45
0.50, 0.54, 0.51, 0.56, 0.59, 0.52, 0.00, 0.54, 0.43, 0.43
0.46, 0.50, 0.49, 0.49, 0.51, 0.47, 0.46, 0.00, 0.43, 0.43
0.49, 0.50, 0.55, 0.54, 0.55, 0.55, 0.57, 0.57, 0.00, 0.00
0.52, 0.54, 0.56, 0.51, 0.57, 0.48, 0.51, 0.52, 0.50, 0.50
