0.00, 69.50, 66.50, 78.00, 69.00, 79.00, 85.00, 65.50, 73.67, 65.00, 66.00, 56.00, 99.00, 59.00
82.50, 0.00, 71.00, 75.00, 54.50, 71.00, 63.00, 51.00, 67.00, 63.50, 64.00, 50.50, 73.50, 75.00
89.00, 76.50, 0.00, 65.00, 63.50, 67.50, 87.00, 92.00, 76.50, 71.00, 89.00, 70.00, 71.50, 55.50
67.00, 78.00, 66.00, 0.00, 57.00, 55.00, 75.50, 65.00, 70.00, 73.50, 63.50, 65.00, 77.00, 62.50
79.00, 71.50, 66.50, 67.00, 0.00, 64.33, 68.00, 82.00, 71.00, 65.00, 68.50, 76.00, 77.00, 57.50
74.00, 68.50, 86.00, 69.00, 72.33, 0.00, 74.50, 80.50, 81.00, 75.00, 71.00, 70.00, 74.50, 67.00
77.00, 84.00, 92.00, 63.50, 55.33, 52.50, 0.00, 73.00, 62.00, 59.00, 71.00, 70.33, 76.00, 55.00
69.50, 66.00, 88.50, 62.00, 53.00, 70.00, 70.00, 0.00, 59.00, 60.00, 70.50, 67.00, 68.50, 56.50
71.00, 69.50, 71.00, 52.00, 60.00, 55.00, 50.00, 50.00, 0.00, 58.50, 52.00, 57.00, 60.50, 55.00
66.50, 67.00, 76.00, 61.50, 49.00, 63.67, 79.00, 70.00, 56.50, 0.00, 74.00, 59.00, 68.50, 67.00
77.50, 62.00, 82.00, 68.50, 65.00, 56.00, 68.00, 79.50, 59.00, 70.00, 0.00, 77.00, 63.00, 54.50
73.00, 59.00, 86.00, 59.00, 57.00, 66.00, 71.67, 78.00, 70.00, 82.50, 87.50, 0.00, 89.00, 84.00
94.00, 69.50, 77.50, 63.00, 65.00, 63.50, 69.00, 68.50, 58.00, 63.00, 64.50, 54.00, 0.00, 64.00
68.00, 73.00, 68.50, 64.50, 58.00, 57.00, 54.00, 64.00, 65.50, 73.00, 66.00, 80.00, 69.00, 0.00
