0.00, 63.50, 77.00, 81.00, 62.00, 78.33, 56.00, 77.50, 83.00, 72.00, 72.00
75.00, 0.00, 72.00, 75.00, 68.00, 74.00, 69.00, 65.00, 73.00, 66.00, 66.00
66.00, 59.67, 0.00, 76.00, 77.00, 78.00, 60.00, 64.00, 73.00, 77.50, 77.50
65.00, 55.00, 56.00, 0.00, 44.00, 76.50, 63.00, 63.33, 66.00, 61.00, 61.00
64.00, 59.33, 82.00, 71.00, 0.00, 70.50, 49.00, 74.00, 77.00, 63.50, 63.50
65.00, 88.00, 86.00, 79.50, 62.50, 0.00, 62.50, 89.00, 82.00, 87.00, 87.00
41.00, 55.50, 61.50, 54.50, 61.00, 54.50, 0.00, 52.50, 55.00, 61.00, 61.00
86.00, 65.00, 75.00, 76.00, 70.00, 71.00, 56.50, 0.00, 76.00, 78.00, 78.00
56.00, 52.50, 67.50, 60.50, 65.00, 64.67, 49.00, 57.00, 0.00, 69.00, 69.00
75.50, 52.00, 72.50, 77.00, 57.50, 71.00, 55.50, 68.50, 80.00, 0.00, 0.00
60.00, 64.00, 59.00, 63.50, 64.00, 70.00, 66.50, 94.00, 57.50, 77.00, 77.00
