0.00, 75.50, 69.67, 71.00, 73.33, 73.50, 85.00, 76.50, 62.00, 75.00
72.00, 0.00, 72.50, 68.50, 70.50, 78.50, 69.00, 65.67, 71.50, 74.00
77.33, 73.00, 0.00, 63.00, 79.00, 78.00, 75.50, 71.00, 71.00, 82.00
68.00, 65.50, 51.00, 0.00, 76.50, 66.50, 71.50, 74.00, 70.00, 67.00
83.67, 77.00, 80.00, 63.50, 0.00, 79.00, 81.00, 77.33, 70.50, 72.00
62.50, 69.50, 61.50, 72.50, 58.50, 0.00, 71.00, 61.00, 64.33, 55.50
62.50, 68.50, 62.00, 58.00, 71.33, 68.00, 0.00, 69.50, 60.50, 74.33
71.50, 68.00, 64.50, 77.50, 68.67, 70.50, 68.00, 0.00, 65.50, 72.50
56.00, 48.00, 59.33, 61.50, 56.50, 68.33, 59.00, 59.50, 0.00, 57.00
54.00, 53.00, 48.00, 46.50, 54.50, 60.00, 60.67, 62.00, 46.00, 0.00
