0.00, 0.44, 0.45, 0.43, 0.53, 0.51, 0.48, 0.53, 0.45, 0.55, 0.53, 0.53
0.56, 0.00, 0.46, 0.53, 0.56, 0.49, 0.52, 0.51, 0.48, 0.49, 0.53, 0.53
0.55, 0.54, 0.00, 0.48, 0.58, 0.55, 0.54, 0.57, 0.51, 0.57, 0.52, 0.52
0.57, 0.47, 0.52, 0.00, 0.53, 0.44, 0.52, 0.54, 0.46, 0.53, 0.47, 0.47
0.47, 0.44, 0.42, 0.47, 0.00, 0.46, 0.51, 0.48, 0.57, 0.47, 0.47, 0.47
0.49, 0.51, 0.45, 0.56, 0.54, 0.00, 0.45, 0.52, 0.47, 0.53, 0.46, 0.46
0.52, 0.48, 0.46, 0.48, 0.49, 0.55, 0.00, 0.49, 0.49, 0.52, 0.49, 0.49
0.47, 0.49, 0.43, 0.46, 0.52, 0.48, 0.51, 0.00, 0.44, 0.46, 0.47, 0.47
0.55, 0.52, 0.49, 0.54, 0.43, 0.53, 0.51, 0.56, 0.00, 0.53, 0.51, 0.51
0.45, 0.51, 0.43, 0.47, 0.53, 0.47, 0.48, 0.54, 0.47, 0.00, 0.52, 0.52
0.47, 0.47, 0.48, 0.53, 0.53, 0.54, 0.51, 0.53, 0.49, 0.48, 0.00, 0.00
0.45, 0.44, 0.42, 0.43, 0.37, 0.43, 0.50, 0.42, 0.45, 0.52, 0.43, 0.43
