0.00, 0.00, 5.00, 6.00, 18.00, 0.00, 2.00, 4.00, 0.00, 0.00, 23.00, 15.00, 0.00, 0.00, 6.00
12.00, 0.00, 0.00, 13.00, 10.00, 5.00, 9.00, 16.00, 4.00, 9.00, 24.00, 0.00, 0.00, 0.00, 8.00
0.00, 9.00, 0.00, 7.00, 11.00, 26.00, 8.00, 0.00, 10.00, 40.00, 62.00, 20.00, 0.00, 22.00, 32.00
9.00, 2.00, 0.00, 0.00, 11.00, 4.00, 9.00, 0.00, 1.00, 0.00, 13.00, 11.00, 0.00, 9.00, 0.00
0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10.00, 3.00, 0.00, 7.00, 15.00, 4.00, 0.00, 0.00, 8.00
8.00, 0.00, 0.00, 12.00, 23.00, 0.00, 0.00, 0.00, 0.00, 4.00, 60.00, 0.00, 0.00, 15.00, 19.00
1.00, 0.00, 0.00, 6.00, 0.00, 3.00, 0.00, 5.00, 3.00, 3.00, 26.00, 0.00, 0.00, 10.00, 6.00
16.00, 1.00, 11.00, 20.00, 0.00, 7.00, 0.00, 0.00, 4.00, 18.00, 4.00, 4.00, 0.00, 0.00, 15.00
30.00, 8.00, 9.00, 0.00, 14.00, 17.00, 17.00, 7.00, 0.00, 18.00, 31.00, 23.00, 0.00, 0.00, 4.00
28.00, 0.00, 0.00, 15.00, 9.00, 0.00, 0.00, 30.00, 0.00, 0.00, 20.00, 2.00, 0.00, 6.00, 5.00
0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18.00, 3.00, 0.00, 0.00, 0.00, 5.00, 7.00, 0.00, 0.00, 0.00, 19.00, 0.00, 0.00, 12.00, 17.00
1.00, 31.00, 2.00, 4.00, 27.00, 28.00, 9.00, 17.00, 20.00, 5.00, 29.00, 22.00, 0.00, 26.00, 10.00
5.00, 7.00, 1.00, 0.00, 20.00, 0.00, 0.00, 10.00, 11.00, 5.00, 14.00, 0.00, 1.00, 0.00, 8.00
0.00, 0.00, 0.00, 4.00, 17.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6.00, 6.00, 0.00, 0.00, 0.00
