0.00, 54.00, 69.50, 59.00, 89.67, 71.00, 70.00, 65.00, 79.00, 61.50, 68.00
62.00, 0.00, 88.00, 70.33, 79.00, 87.50, 81.00, 72.00, 78.00, 82.50, 95.50
64.00, 56.00, 0.00, 68.00, 88.00, 56.00, 62.00, 68.00, 61.50, 77.00, 69.50
67.00, 61.67, 70.00, 0.00, 71.00, 78.00, 59.50, 73.50, 92.00, 71.00, 96.50
79.33, 87.00, 90.00, 79.00, 0.00, 73.00, 66.00, 79.00, 87.00, 81.00, 66.00
76.00, 71.00, 64.50, 70.50, 75.00, 0.00, 67.00, 67.00, 78.00, 60.50, 72.50
80.00, 71.50, 67.00, 64.50, 83.50, 66.00, 0.00, 71.00, 72.00, 72.50, 69.67
84.33, 72.50, 86.00, 83.00, 97.00, 87.00, 88.00, 0.00, 97.50, 85.00, 82.00
81.00, 65.00, 59.50, 69.00, 78.50, 73.00, 68.00, 68.50, 0.00, 69.00, 69.00
61.50, 66.00, 70.00, 62.00, 78.50, 72.00, 63.00, 51.00, 69.50, 0.00, 63.00
103.00, 92.00, 85.00, 99.50, 81.00, 81.00, 68.67, 95.00, 89.50, 83.00, 0.00
