0.00, 79.00, 69.50, 73.00, 59.00, 79.00, 73.50, 74.33, 78.00, 73.50, 73.50
61.50, 0.00, 77.00, 64.00, 63.00, 74.00, 52.00, 81.50, 76.50, 75.50, 75.50
68.50, 90.00, 0.00, 72.50, 60.50, 83.00, 70.00, 72.00, 73.50, 71.00, 71.00
65.00, 66.00, 65.50, 0.00, 66.50, 59.00, 51.33, 57.50, 62.00, 62.00, 62.00
60.00, 70.00, 76.50, 78.50, 0.00, 72.00, 70.67, 63.50, 82.50, 64.00, 64.00
73.50, 78.00, 86.50, 66.50, 70.00, 0.00, 79.00, 74.00, 82.50, 73.50, 73.50
82.00, 79.50, 79.50, 61.33, 69.67, 86.00, 0.00, 75.50, 78.00, 65.50, 65.50
79.67, 89.50, 76.00, 77.00, 61.00, 81.50, 75.50, 0.00, 63.00, 73.00, 73.00
68.00, 81.00, 67.50, 60.00, 60.00, 75.50, 71.50, 66.00, 0.00, 67.00, 67.00
68.50, 65.50, 61.00, 57.00, 52.50, 58.00, 65.00, 57.00, 77.50, 0.00, 0.00
65.50, 74.50, 68.00, 72.50, 78.50, 79.50, 52.00, 73.00, 64.00, 70.00, 70.00
