0.00, 0.43, 0.54, 0.54, 0.52, 0.50, 0.54, 0.49, 0.45, 0.48, 0.48
0.57, 0.00, 0.57, 0.55, 0.52, 0.51, 0.60, 0.53, 0.54, 0.52, 0.52
0.46, 0.43, 0.00, 0.46, 0.39, 0.51, 0.44, 0.44, 0.46, 0.41, 0.41
0.46, 0.45, 0.54, 0.00, 0.49, 0.54, 0.47, 0.52, 0.47, 0.53, 0.53
0.48, 0.48, 0.61, 0.51, 0.00, 0.50, 0.53, 0.51, 0.48, 0.51, 0.51
0.50, 0.49, 0.49, 0.46, 0.50, 0.00, 0.47, 0.51, 0.46, 0.47, 0.47
0.46, 0.40, 0.56, 0.53, 0.47, 0.53, 0.00, 0.53, 0.48, 0.50, 0.50
0.51, 0.47, 0.56, 0.48, 0.49, 0.49, 0.47, 0.00, 0.49, 0.51, 0.51
0.55, 0.46, 0.54, 0.53, 0.52, 0.54, 0.52, 0.51, 0.00, 0.53, 0.53
0.52, 0.48, 0.59, 0.47, 0.49, 0.53, 0.50, 0.49, 0.47, 0.00, 0.00
0.52, 0.48, 0.59, 0.51, 0.54, 0.57, 0.49, 0.49, 0.50, 0.51, 0.51
