0.00, 0.00, 13.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5.00, 0.00, 0.00
2.00, 0.00, 0.00, 0.00, 22.00, 3.00, 11.00, 0.00, 0.00, 6.00, 11.00, 0.00
0.00, 12.00, 0.00, 0.00, 20.00, 0.00, 0.00, 3.00, 0.00, 6.00, 0.00, 0.00
23.00, 14.00, 15.00, 0.00, 25.00, 1.00, 5.00, 7.00, 0.00, 5.00, 2.00, 0.00
18.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3.00
23.00, 7.00, 15.00, 0.00, 18.00, 0.00, 11.00, 0.00, 23.00, 14.00, 4.00, 25.00
48.00, 0.00, 13.00, 0.00, 35.00, 0.00, 0.00, 0.00, 2.00, 0.00, 0.00, 0.00
39.00, 12.00, 2.00, 15.00, 36.00, 2.00, 29.00, 0.00, 8.00, 16.00, 0.00, 15.00
26.00, 27.00, 3.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 36.00, 27.00, 14.00
0.00, 4.00, 0.00, 5.00, 33.00, 0.00, 2.00, 0.00, 0.00, 0.00, 13.00, 14.00
14.00, 11.00, 19.00, 0.00, 19.00, 10.00, 4.00, 15.00, 0.00, 0.00, 0.00, 5.00
9.00, 8.00, 9.00, 9.00, 0.00, 9.00, 5.00, 0.00, 7.00, 10.00, 0.00, 0.00
