0.00, 0.00, 0.00, 0.00, 3.00, 4.00, 1.00, 0.00, 4.00, 10.00, 0.00, 9.00, 9.00
16.00, 0.00, 11.00, 0.00, 0.00, 0.00, 0.00, 23.00, 10.00, 2.00, 2.00, 0.00, 0.00
9.00, 0.00, 0.00, 14.00, 14.00, 13.00, 0.00, 3.00, 17.00, 25.00, 7.00, 0.00, 0.00
17.00, 1.00, 5.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4.00, 16.00, 0.00, 2.00, 2.00
0.00, 3.00, 0.00, 15.00, 0.00, 27.00, 0.00, 23.00, 41.00, 4.00, 32.00, 0.00, 0.00
0.00, 10.00, 0.00, 8.00, 0.00, 0.00, 0.00, 0.00, 7.00, 0.00, 0.00, 15.00, 15.00
9.00, 41.00, 8.00, 15.00, 4.00, 25.00, 0.00, 19.00, 0.00, 12.00, 8.00, 17.00, 17.00
3.00, 7.00, 0.00, 19.00, 0.00, 4.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, 0.00
0.00, 14.00, 0.00, 0.00, 0.00, 13.00, 1.00, 7.00, 0.00, 0.00, 14.00, 5.00, 5.00
0.00, 8.00, 4.00, 9.00, 22.00, 12.00, 2.00, 13.00, 9.00, 0.00, 2.00, 9.00, 9.00
28.00, 17.00, 12.00, 11.00, 0.00, 4.00, 5.00, 28.00, 7.00, 0.00, 0.00, 0.00, 0.00
0.00, 7.00, 10.00, 8.00, 25.00, 0.00, 10.00, 20.00, 2.00, 8.00, 8.00, 0.00, 0.00
24.00, 7.00, 11.00, 33.00, 10.00, 18.00, 0.00, 0.00, 17.00, 0.00, 5.00, 8.00, 8.00
