0.00, 0.49, 0.46, 0.42, 0.45, 0.52, 0.47, 0.43, 0.52, 0.44, 0.48, 0.48
0.51, 0.00, 0.42, 0.56, 0.49, 0.54, 0.56, 0.53, 0.51, 0.47, 0.49, 0.49
0.54, 0.58, 0.00, 0.57, 0.46, 0.59, 0.53, 0.54, 0.55, 0.50, 0.55, 0.55
0.58, 0.44, 0.43, 0.00, 0.46, 0.59, 0.43, 0.44, 0.50, 0.45, 0.45, 0.45
0.55, 0.51, 0.54, 0.54, 0.00, 0.57, 0.49, 0.50, 0.52, 0.48, 0.47, 0.47
0.48, 0.46, 0.41, 0.41, 0.43, 0.00, 0.45, 0.44, 0.49, 0.36, 0.41, 0.41
0.53, 0.44, 0.47, 0.57, 0.51, 0.55, 0.00, 0.51, 0.56, 0.46, 0.52, 0.52
0.57, 0.47, 0.46, 0.56, 0.50, 0.56, 0.49, 0.00, 0.54, 0.52, 0.50, 0.50
0.48, 0.49, 0.45, 0.50, 0.48, 0.51, 0.44, 0.46, 0.00, 0.37, 0.49, 0.49
0.56, 0.53, 0.50, 0.55, 0.52, 0.64, 0.54, 0.48, 0.63, 0.00, 0.57, 0.57
0.52, 0.51, 0.45, 0.55, 0.53, 0.59, 0.48, 0.50, 0.51, 0.43, 0.00, 0.00
0.48, 0.46, 0.42, 0.51, 0.41, 0.53, 0.45, 0.44, 0.37, 0.47, 0.46, 0.46
