0.00, 61.67, 57.00, 65.00, 67.50, 58.50, 62.50, 52.50, 58.00, 65.50
61.00, 0.00, 66.50, 57.50, 73.00, 56.50, 58.00, 87.00, 68.50, 71.50
49.50, 67.00, 0.00, 70.33, 64.00, 50.50, 59.50, 60.00, 67.00, 68.50
63.50, 80.00, 73.33, 0.00, 70.00, 71.50, 75.00, 66.50, 82.00, 66.00
66.50, 83.50, 73.00, 73.00, 0.00, 88.50, 80.50, 87.00, 70.00, 82.33
59.00, 74.00, 73.00, 77.50, 92.00, 0.00, 84.50, 70.00, 70.50, 65.67
59.50, 78.50, 65.50, 76.50, 76.00, 79.00, 0.00, 63.33, 69.33, 68.50
42.00, 90.00, 73.00, 74.00, 70.00, 64.00, 61.00, 0.00, 72.00, 87.50
63.33, 82.00, 76.00, 88.50, 73.00, 78.00, 75.33, 67.00, 0.00, 83.00
70.50, 92.00, 70.50, 82.00, 70.00, 70.67, 82.00, 75.50, 90.50, 0.00
