0.00, 0.53, 0.52, 0.51, 0.59, 0.48, 0.48, 0.54, 0.47, 0.47, 0.47
0.47, 0.00, 0.43, 0.46, 0.53, 0.51, 0.46, 0.50, 0.44, 0.47, 0.47
0.48, 0.57, 0.00, 0.48, 0.48, 0.40, 0.48, 0.54, 0.49, 0.49, 0.49
0.49, 0.54, 0.52, 0.00, 0.55, 0.47, 0.47, 0.54, 0.50, 0.49, 0.49
0.41, 0.47, 0.52, 0.45, 0.00, 0.37, 0.45, 0.52, 0.43, 0.47, 0.47
0.52, 0.49, 0.60, 0.53, 0.63, 0.00, 0.54, 0.53, 0.56, 0.50, 0.50
0.52, 0.54, 0.52, 0.53, 0.55, 0.46, 0.00, 0.51, 0.56, 0.54, 0.54
0.46, 0.50, 0.46, 0.46, 0.48, 0.47, 0.49, 0.00, 0.49, 0.46, 0.46
0.53, 0.56, 0.51, 0.50, 0.57, 0.44, 0.44, 0.51, 0.00, 0.53, 0.53
0.53, 0.53, 0.51, 0.51, 0.53, 0.50, 0.46, 0.54, 0.47, 0.00, 0.00
0.50, 0.52, 0.48, 0.48, 0.53, 0.45, 0.46, 0.55, 0.50, 0.51, 0.51
