0.00, 7.00, 12.00, 7.00, 21.00, 15.00, 5.00, 42.00, 5.00, 2.00, 0.00, 17.00, 0.00
0.00, 0.00, 2.00, 2.00, 20.00, 0.00, 0.00, 15.00, 0.00, 0.00, 0.00, 3.00, 0.00
0.00, 20.00, 0.00, 11.00, 0.00, 4.00, 12.00, 10.00, 0.00, 2.00, 0.00, 29.00, 4.00
0.00, 0.00, 6.00, 0.00, 0.00, 16.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
0.00, 4.00, 2.00, 32.00, 0.00, 2.00, 0.00, 10.00, 0.00, 0.00, 1.00, 0.00, 2.00
0.00, 4.00, 1.00, 0.00, 17.00, 0.00, 0.00, 16.00, 0.00, 2.00, 2.00, 28.00, 0.00
0.00, 10.00, 0.00, 8.00, 10.00, 7.00, 0.00, 0.00, 9.00, 15.00, 28.00, 23.00, 0.00
0.00, 10.00, 2.00, 7.00, 0.00, 3.00, 4.00, 0.00, 6.00, 0.00, 0.00, 0.00, 0.00
0.00, 12.00, 21.00, 15.00, 5.00, 32.00, 20.00, 10.00, 0.00, 0.00, 0.00, 15.00, 0.00
10.00, 7.00, 0.00, 26.00, 6.00, 0.00, 6.00, 5.00, 3.00, 0.00, 3.00, 40.00, 0.00
5.00, 8.00, 4.00, 22.00, 7.00, 14.00, 6.00, 11.00, 8.00, 29.00, 0.00, 1.00, 5.00
0.00, 1.00, 0.00, 6.00, 17.00, 4.00, 0.00, 11.00, 0.00, 0.00, 0.00, 0.00, 0.00
41.00, 5.00, 0.00, 41.00, 31.00, 5.00, 21.00, 10.00, 11.00, 19.00, 23.00, 9.00, 0.00
