0.00, 60.00, 62.00, 52.00, 58.50, 65.00, 79.50, 65.50, 67.00, 62.00, 62.00
71.50, 0.00, 72.50, 65.50, 80.50, 74.00, 62.67, 71.50, 68.00, 56.50, 56.50
66.00, 61.00, 0.00, 60.50, 48.50, 58.00, 69.50, 69.00, 64.00, 65.50, 65.50
80.00, 74.00, 69.00, 0.00, 49.67, 68.00, 80.50, 42.50, 66.50, 56.33, 56.33
78.00, 82.50, 67.00, 54.67, 0.00, 79.33, 72.00, 63.50, 76.00, 61.50, 61.50
80.50, 79.00, 88.50, 69.00, 75.67, 0.00, 83.50, 63.00, 87.50, 55.00, 55.00
78.50, 65.00, 70.50, 73.50, 52.50, 89.00, 0.00, 57.00, 83.50, 59.00, 59.00
61.00, 69.00, 71.50, 39.50, 59.00, 49.33, 72.50, 0.00, 62.00, 56.00, 56.00
63.00, 61.50, 62.00, 70.00, 68.00, 72.00, 80.00, 53.50, 0.00, 54.50, 54.50
56.00, 70.50, 69.00, 55.67, 47.50, 62.00, 73.00, 59.00, 60.50, 0.00, 0.00
70.50, 78.50, 78.50, 63.00, 68.00, 77.00, 95.00, 66.00, 60.00, 67.00, 67.00
