0.00, 79.00, 65.00, 83.50, 63.50, 66.00, 66.00, 57.00, 71.50, 71.50
86.67, 0.00, 64.33, 71.50, 78.50, 73.50, 83.50, 64.50, 82.50, 82.50
83.50, 74.67, 0.00, 79.33, 79.00, 67.00, 81.00, 70.50, 89.00, 89.00
81.00, 81.00, 76.33, 0.00, 87.50, 74.00, 75.00, 82.00, 91.00, 91.00
59.00, 60.50, 64.00, 78.50, 0.00, 64.50, 80.00, 56.00, 71.50, 71.50
61.50, 68.50, 48.00, 62.00, 60.00, 0.00, 61.50, 63.00, 55.00, 55.00
63.67, 85.50, 78.50, 61.00, 78.50, 68.50, 0.00, 62.50, 71.00, 71.00
65.50, 65.00, 59.00, 76.50, 67.50, 46.50, 60.50, 0.00, 72.67, 72.67
72.50, 63.00, 70.00, 81.33, 73.00, 62.50, 73.00, 78.67, 0.00, 0.00
81.00, 70.00, 54.50, 75.33, 60.00, 59.50, 70.50, 70.50, 75.00, 75.00
