0.00, 0.54, 0.51, 0.59, 0.54, 0.54, 0.58, 0.53, 0.57, 0.57
0.46, 0.00, 0.46, 0.53, 0.53, 0.50, 0.50, 0.48, 0.49, 0.49
0.49, 0.54, 0.00, 0.50, 0.58, 0.51, 0.51, 0.51, 0.45, 0.45
0.41, 0.47, 0.50, 0.00, 0.46, 0.49, 0.47, 0.48, 0.39, 0.39
0.46, 0.47, 0.42, 0.54, 0.00, 0.45, 0.44, 0.51, 0.46, 0.46
0.46, 0.50, 0.49, 0.51, 0.55, 0.00, 0.50, 0.50, 0.49, 0.49
0.42, 0.50, 0.49, 0.53, 0.56, 0.50, 0.00, 0.47, 0.48, 0.48
0.47, 0.52, 0.49, 0.52, 0.49, 0.50, 0.53, 0.00, 0.50, 0.50
0.43, 0.51, 0.55, 0.61, 0.54, 0.51, 0.52, 0.50, 0.00, 0.00
0.43, 0.44, 0.46, 0.51, 0.50, 0.49, 0.46, 0.48, 0.47, 0.47
