,Atlantic Coast,Big 10,Big 12,Conference USA,Mid-American,Southeastern
1996,0.875000000000000,0.689116223109035,0.716139567478216,0.772523982545237,0.784995142436900,0.818181818181818
1997,0.875000000000000,0.800000000000000,0.818181818181818,0.833333333333333,0.709531021767215,0.727855644601799
1998,0.875000000000000,0.712151394016709,0.727026091761540,0.857142857142857,0.704577464020667,0.818181818181818
1999,0.779123739250409,0.677479345081918,0.670963673846791,0.750000000000000,0.666666666666667,0.641381049972538
2000,0.875000000000000,0.625025113100220,0.727272727272727,0.759283674747298,0.521940546462738,0.636298040921076
2001,0.831300349977650,0.698415015426078,0.700128118813517,0.667098350262260,0.666022197650414,0.586135218884305
2002,0.834575622762457,0.800000000000000,0.647864095917017,0.657327703913865,0.608135838454611,0.730231955295718
2003,0.843764899569160,0.683566862434956,0.713211647999561,0.800000000000000,0.615384615384615,0.646048813573407
2004,0.698183391257832,0.694031917264822,0.818181818181818,0.800000000000000,0.578328546889496,0.727272727272727
2005,0.615185733641408,0.694659497796998,0.727272727272727,0.613790220179368,0.543016108184291,0.650173787353618
2006,0.624899648684495,0.800000000000000,0.726950612117562,0.687952667022000,0.696078716029700,0.712207061087878
2007,0.686028296756119,0.680697022083619,0.643834510845365,0.634932353436855,0.582666579664051,0.597581212644844
2008,0.492509115297194,0.725036857024010,0.717719433145626,0.663244231170000,0.629290426848936,0.726582018349872
2009,0.618933507459948,0.703806650911952,0.818181818181818,0.717964766526461,0.750000000000000,0.818181818181818
2010,0.818181818181818,0.726723618011846,0.622890391660639,0.728438276032799,0.683396893545333,0.727272727272727
2011,0.635179779996753,0.579826255429193,0.875455264604461,0.726482132628512,0.652357764060449,0.782141217326661
2012,0.705236342624211,0.727272727272727,0.841883615414610,0.640995393796909,0.750000000000000,0.615384615384616
2013,0.692307692307692,0.818181818181818,0.878379442486146,0.606003701222060,0.666666666666667,0.597085479596839
2014,0.692307692307692,0.692307692307692,0.888888888888889,0.651622099866248,0.637843752600387,0.613564456280811
2015,0.692307692307692,0.614418760895077,0.877147507429877,0.750000000000000,0.641829196636291,0.588418667514617
2016,0.612847457930001,0.676815143107448,0.881998111956527,0.626527597754287,0.818181818181818,0.692307692307692
2017,0.600289070557376,0.689253385792306,0.872117948705665,0.615384615384615,0.617841827878963,0.610734129092324
2018,0.692307692307692,0.693477124871403,0.874223656602118,0.581038324971703,0.625884163958882,0.692307692307692
