,America East,Atlantic 10,Atlantic Coast,Atlantic Sun,Big 10,Big 12,Big East,Big Sky,Big South,Big West,Colonial,Conference USA,Horizon,Ivy League,Metro Atlantic,Mid-American,Mid-Eastern AC,Missouri Val,Northeast,OH Valley,Patriot League,Southeastern,Southern,Southland,Southwestern AC,Sun Belt,West Coast
2002,0.760271046099366,0.805859680039732,0.822916666666667,0.715714611134536,0.728098695632553,0.870460260446204,0.759832552184208,0.800712852200516,0.730166313982795,0.728407343917387,0.746254479115622,0.728235444229658,0.714232931156081,0.822775143072173,0.688096556828058,0.913442219194941,0.881910548239794,0.813334821902918,0.886363636363636,0.843750000000000,0.708556614594964,0.759510357359304,0.746783135184653,0.867832697380485,0.888888888888889,0.867669213605492,0.857136713502744
2003,0.802610033629718,0.900495525656274,0.770067884707851,0.918557455811979,0.693006198201865,0.826748427900460,0.733395978838155,0.821428571428571,0.773362458750948,0.746420359594812,0.819821468989470,0.741358224599488,0.843750000000000,0.857142857142857,0.819723385903990,0.783993868173707,0.853093428544833,0.870370370370370,0.761179212585449,0.820412368244528,0.861228699982593,0.828017956093154,0.781583715780671,0.864353666602757,0.747608418268991,0.873373626117281,0.798616055295725
2004,0.870370370370370,0.878557172144171,0.801278832507499,0.875000000000000,0.845070978472775,0.863575106784995,0.830606074849822,0.707530165670997,0.786045366635790,0.824173025556741,0.800414794246827,0.821214070742132,0.772324669984764,0.918439473546980,0.882221004875800,0.900288606317967,0.759322082561199,0.815105063872900,0.716447095653513,0.819098155951126,0.743091744777797,0.823465369892886,0.891951591846959,0.787847328675520,0.834909783666858,0.861046187693500,0.857142857142857
2005,0.826503012255509,0.795261211872195,0.784447075860284,0.706539472079570,0.883876524082066,0.765890040640457,0.799861328026001,0.750164974483266,0.843750000000000,0.861111111111111,0.874531817694511,0.882554637180500,0.854238548738570,0.821428571428571,0.768739189252586,0.745338087481048,0.774381516104435,0.765240014014592,0.795308257421289,0.710871416666153,0.907867296688745,0.873027913638174,0.841924932608787,0.852432985516143,0.708465216351925,0.800934798271426,0.833333333333333
2006,0.866025473556957,0.877060150576673,0.848747003976523,0.762664028106085,0.740250533866949,0.780862332249638,0.760553429684034,0.785714285714285,0.866880704601404,0.825602940540685,0.832603774546148,0.858958061198341,0.775015635831764,0.778062876650649,0.762287479435918,0.879252745521762,0.834631950007342,0.738736707599880,0.752426020313225,0.859384163914729,0.908801218047801,0.804149971108013,0.748085927632164,0.855843774267790,0.833669541691990,0.750000000000000,0.833333333333333
2007,0.798505588355304,0.802925625801623,0.690972201525169,0.870430740116612,0.910552363585186,0.810673126119920,0.755577518469290,0.702600002231628,0.870368338574703,0.875463194845777,0.835554487484453,0.894444836348348,0.837842055855901,0.857142857142857,0.787725860032717,0.817725822915327,0.901251454397506,0.774059824248632,0.795066249628700,0.749795476842110,0.821428571428571,0.766580648021150,0.838804666014120,0.861302170157690,0.734931437898685,0.772131728116883,0.773296251248789
2008,0.821318165394436,0.861874741866353,0.809099359129836,0.870250720115247,0.871660593550140,0.816912533324774,0.855737908792762,0.869050965224418,0.750982137220670,0.770153187408913,0.739582104443879,0.909090909090909,0.852343569961840,0.821428571428571,0.799052291184901,0.811281895183187,0.786420584794342,0.815240709377858,0.821337552748892,0.785152167392993,0.672886765288904,0.843338319970901,0.850886238111152,0.770367700935344,0.725446382910801,0.798505305903161,0.857142857142857
2009,0.824376218155515,0.725221610363640,0.722616710011288,0.759891577744321,0.820205374129195,0.818744693686487,0.876246603196431,0.911690745088148,0.819503421647414,0.726152101127354,0.768805036112566,0.808961333322819,0.788767577318342,0.786837641432196,0.816166052222267,0.764163092093642,0.815221181217239,0.810510765539742,0.827978768330706,0.776050886567637,0.797619047619048,0.781370574191189,0.855545945515146,0.802756964197284,0.833333333333333,0.850862656657765,0.894499986761472
2010,0.769930186036039,0.885418848996744,0.780303030303030,0.710878375284522,0.836923988282381,0.842172614107070,0.829006824892299,0.823756039413669,0.814537566158941,0.713088406446779,0.781000576969948,0.914944728001919,0.871069702334067,0.862353501205368,0.940494612763073,0.824478754574914,0.826891237045321,0.855195001695255,0.886307388399575,0.881099931881841,0.732120693357522,0.884919763008521,0.816233133537977,0.844079169330625,0.888888888888889,0.735032436303817,0.837841178474748
2011,0.775371776608818,0.892402484948590,0.838889984331683,0.838832794464377,0.875000000000000,0.848296540714235,0.757067739560350,0.812500000000000,0.881298457723266,0.803113216510028,0.871715958511247,0.719163707107397,0.757817516999188,0.878476936039084,0.810540387616545,0.822722912720808,0.732160465224331,0.799145966989663,0.870916603380153,0.756825802308620,0.827832137761478,0.770639454336387,0.842173251170828,0.659660803454163,0.850927300395465,0.703440567639292,0.842512124535581
2012,0.873159694127234,0.761861050383776,0.832905441210261,0.885329101637061,0.779778220912657,0.864116356681557,0.850000000000000,0.922906988195842,0.898607827636501,0.843750000000000,0.892458672810077,0.872695762207860,0.728092172243364,0.871870266669185,0.809221425195163,0.805060634309821,0.784303195134981,0.854831375085731,0.904058060024703,0.862770867149108,0.857142857142857,0.895288431866491,0.772727272727273,0.882873563359183,0.815920706921095,0.792151936605901,0.902778914133663
2013,0.835447658451222,0.792220851177823,0.789282765640183,0.765853628698556,0.815622049377752,0.796876676805069,0.840780568010653,0.812915831404699,0.753579823737919,0.798130918760688,0.752198305969015,0.895896146603208,0.795330728767681,0.738562815980738,0.705102788914416,0.815535335004175,0.873996300904392,0.735918622082303,0.769423690242320,0.814994787228771,0.857142857142857,0.765144225638919,0.856384755019667,0.895872104298895,0.861111111111111,0.864567287701420,0.854166666666667
