0.00, 85.50, 65.50, 69.33, 78.50, 69.67, 78.00, 65.50, 61.00, 61.00
72.00, 0.00, 71.50, 82.50, 73.00, 66.50, 72.67, 81.00, 64.00, 64.00
91.50, 89.00, 0.00, 93.50, 71.00, 86.67, 74.67, 81.50, 80.50, 80.50
75.33, 81.00, 76.50, 0.00, 70.50, 78.00, 77.00, 73.50, 76.00, 76.00
76.50, 76.00, 82.50, 85.50, 0.00, 79.00, 66.50, 71.50, 70.00, 70.00
69.67, 79.00, 82.33, 80.50, 78.00, 0.00, 85.50, 81.00, 83.50, 83.50
86.00, 75.33, 59.33, 72.50, 74.00, 79.50, 0.00, 77.00, 83.50, 83.50
77.00, 75.00, 69.00, 71.00, 78.00, 64.00, 74.00, 0.00, 67.50, 67.50
63.00, 68.50, 80.00, 87.00, 66.00, 76.00, 87.00, 88.50, 0.00, 0.00
76.50, 91.50, 70.67, 72.50, 80.00, 69.00, 83.00, 87.00, 71.00, 71.00
