0.00, 0.52, 0.48, 0.53, 0.54, 0.49, 0.47, 0.50, 0.50, 0.52, 0.52
0.48, 0.00, 0.50, 0.58, 0.56, 0.39, 0.54, 0.50, 0.52, 0.47, 0.47
0.52, 0.50, 0.00, 0.57, 0.53, 0.46, 0.49, 0.51, 0.52, 0.51, 0.51
0.47, 0.42, 0.43, 0.00, 0.50, 0.47, 0.52, 0.52, 0.49, 0.44, 0.44
0.46, 0.44, 0.47, 0.50, 0.00, 0.47, 0.52, 0.50, 0.45, 0.46, 0.46
0.51, 0.61, 0.54, 0.53, 0.53, 0.00, 0.55, 0.56, 0.50, 0.52, 0.52
0.53, 0.46, 0.51, 0.48, 0.48, 0.45, 0.00, 0.51, 0.51, 0.50, 0.50
0.50, 0.50, 0.49, 0.48, 0.50, 0.44, 0.49, 0.00, 0.47, 0.47, 0.47
0.50, 0.48, 0.48, 0.51, 0.55, 0.50, 0.49, 0.53, 0.00, 0.49, 0.49
0.48, 0.53, 0.49, 0.56, 0.54, 0.48, 0.50, 0.53, 0.51, 0.00, 0.00
0.51, 0.57, 0.47, 0.56, 0.58, 0.52, 0.52, 0.57, 0.52, 0.52, 0.52
