0.00, 0.55, 0.52, 0.54, 0.49, 0.62, 0.52, 0.51, 0.52, 0.48, 0.49, 0.49
0.45, 0.00, 0.40, 0.48, 0.42, 0.44, 0.47, 0.45, 0.44, 0.45, 0.43, 0.43
0.48, 0.60, 0.00, 0.51, 0.49, 0.42, 0.48, 0.47, 0.42, 0.51, 0.47, 0.47
0.46, 0.52, 0.49, 0.00, 0.48, 0.46, 0.46, 0.46, 0.49, 0.45, 0.50, 0.50
0.51, 0.58, 0.51, 0.52, 0.00, 0.51, 0.48, 0.48, 0.49, 0.52, 0.46, 0.46
0.38, 0.56, 0.58, 0.54, 0.49, 0.00, 0.50, 0.46, 0.38, 0.53, 0.46, 0.46
0.48, 0.53, 0.52, 0.54, 0.52, 0.50, 0.00, 0.48, 0.50, 0.55, 0.42, 0.42
0.49, 0.55, 0.53, 0.54, 0.52, 0.54, 0.52, 0.00, 0.52, 0.55, 0.46, 0.46
0.48, 0.56, 0.58, 0.51, 0.51, 0.62, 0.50, 0.48, 0.00, 0.53, 0.43, 0.43
0.52, 0.55, 0.49, 0.55, 0.48, 0.47, 0.45, 0.45, 0.47, 0.00, 0.43, 0.43
0.51, 0.57, 0.53, 0.50, 0.54, 0.54, 0.58, 0.54, 0.57, 0.57, 0.00, 0.00
0.49, 0.59, 0.53, 0.58, 0.52, 0.54, 0.54, 0.50, 0.53, 0.53, 0.50, 0.50
