0.00, 0.00, 8.00, 6.00, 0.00, 0.00, 7.00, 8.00, 2.00, 9.00, 23.00, 6.00, 1.00, 1.00
1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20.00, 0.00, 14.00, 45.00, 0.00, 28.00, 3.00, 3.00
6.00, 4.00, 0.00, 0.00, 3.00, 5.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, 0.00
0.00, 11.00, 32.00, 0.00, 18.00, 0.00, 6.00, 14.00, 3.00, 10.00, 0.00, 0.00, 0.00, 0.00
7.00, 3.00, 10.00, 0.00, 0.00, 0.00, 0.00, 14.00, 19.00, 21.00, 16.00, 9.00, 0.00, 0.00
67.00, 14.00, 0.00, 28.00, 47.00, 0.00, 17.00, 22.00, 6.00, 34.00, 27.00, 10.00, 5.00, 5.00
2.00, 2.00, 12.00, 5.00, 4.00, 18.00, 0.00, 9.00, 11.00, 9.00, 0.00, 9.00, 5.00, 5.00
8.00, 16.00, 27.00, 0.00, 1.00, 0.00, 0.00, 0.00, 8.00, 12.00, 0.00, 23.00, 0.00, 0.00
6.00, 32.00, 13.00, 0.00, 0.00, 0.00, 0.00, 6.00, 0.00, 14.00, 10.00, 0.00, 0.00, 0.00
0.00, 0.00, 15.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5.00, 11.00, 0.00, 0.00
14.00, 15.00, 12.00, 4.00, 0.00, 0.00, 11.00, 3.00, 10.00, 9.00, 0.00, 26.00, 3.00, 3.00
0.00, 0.00, 64.00, 14.00, 0.00, 7.00, 16.00, 0.00, 5.00, 0.00, 9.00, 0.00, 0.00, 0.00
0.00, 23.00, 18.00, 9.00, 34.00, 2.00, 47.00, 15.00, 3.00, 28.00, 0.00, 4.00, 0.00, 0.00
8.00, 0.00, 47.00, 14.00, 13.00, 12.00, 0.00, 0.00, 0.00, 15.00, 0.00, 31.00, 17.00, 17.00
