0.00, 68.00, 62.00, 73.00, 62.50, 65.00, 49.00, 76.00, 74.00, 69.00, 64.00, 63.00, 90.00, 71.00, 77.00, 73.00
75.00, 0.00, 67.00, 64.00, 75.00, 61.00, 67.00, 51.00, 58.50, 67.00, 46.00, 54.00, 58.00, 74.00, 80.00, 57.50
53.00, 78.00, 0.00, 63.50, 64.00, 62.00, 63.00, 76.00, 60.00, 73.00, 49.00, 64.00, 52.00, 82.00, 56.00, 71.00
61.00, 68.00, 70.00, 0.00, 51.00, 68.00, 68.00, 63.00, 36.00, 71.00, 66.00, 73.00, 65.00, 78.00, 80.00, 71.00
83.00, 68.00, 84.00, 85.00, 0.00, 98.00, 55.00, 90.00, 71.00, 77.50, 79.50, 73.00, 63.00, 67.00, 87.00, 79.00
64.50, 64.00, 60.00, 80.00, 77.00, 0.00, 53.00, 65.00, 60.50, 73.00, 57.00, 65.00, 52.00, 62.00, 81.00, 56.00
71.00, 84.00, 67.00, 70.00, 39.00, 56.00, 0.00, 70.00, 63.00, 65.00, 81.00, 71.00, 61.00, 72.00, 80.00, 54.00
74.00, 53.00, 78.00, 65.00, 75.00, 80.00, 63.00, 0.00, 62.00, 66.50, 64.00, 61.50, 65.50, 76.00, 71.00, 54.00
63.00, 74.50, 65.00, 52.00, 66.00, 71.50, 48.00, 72.00, 0.00, 55.00, 60.00, 70.00, 37.00, 66.00, 69.00, 49.00
71.00, 55.00, 68.00, 60.00, 47.00, 63.00, 41.00, 68.50, 51.00, 0.00, 62.00, 41.00, 56.00, 60.00, 76.00, 57.00
81.00, 60.00, 60.00, 78.00, 75.00, 60.00, 64.00, 74.00, 75.00, 84.00, 0.00, 73.00, 71.00, 60.00, 85.00, 70.50
64.00, 59.00, 72.00, 47.00, 45.00, 68.00, 44.00, 69.50, 64.00, 58.00, 49.00, 0.00, 60.00, 86.00, 68.00, 54.00
86.00, 76.00, 71.00, 77.00, 65.00, 69.00, 67.00, 86.50, 76.00, 66.00, 75.00, 83.50, 0.00, 63.00, 72.00, 65.00
67.00, 67.00, 71.00, 73.00, 58.00, 68.00, 68.50, 65.00, 75.00, 61.00, 84.00, 80.00, 70.00, 0.00, 78.00, 61.00
85.00, 73.50, 66.00, 72.00, 72.00, 90.00, 58.00, 62.00, 61.00, 89.00, 56.00, 56.00, 70.00, 65.00, 0.00, 56.50
68.00, 67.50, 69.00, 84.00, 89.00, 66.00, 63.00, 74.00, 63.00, 68.00, 62.00, 72.00, 60.00, 63.00, 71.00, 0.00
