0.00, 60.00, 64.50, 67.00, 54.00, 70.00, 56.00, 52.50, 59.00, 64.00, 53.33, 45.00
64.00, 0.00, 69.00, 58.00, 68.00, 69.00, 62.00, 82.00, 73.00, 79.00, 68.33, 63.00
65.50, 56.00, 0.00, 81.00, 75.00, 75.00, 62.00, 47.00, 57.00, 62.50, 73.00, 51.00
77.00, 68.50, 91.00, 0.00, 84.00, 73.00, 82.50, 90.00, 81.00, 68.00, 94.00, 66.00
62.00, 71.00, 78.00, 79.00, 0.00, 65.33, 67.00, 56.50, 73.00, 68.00, 64.00, 47.00
74.00, 57.00, 72.00, 53.00, 69.00, 0.00, 58.00, 56.00, 53.50, 61.50, 77.00, 60.00
74.00, 58.00, 57.00, 54.50, 61.00, 53.00, 0.00, 57.00, 64.50, 61.50, 59.00, 59.50
63.00, 57.00, 62.50, 60.50, 63.50, 59.00, 52.50, 0.00, 59.00, 82.00, 51.00, 47.00
45.00, 46.00, 66.00, 64.00, 80.00, 64.00, 66.50, 63.00, 0.00, 54.00, 44.00, 53.50
72.00, 82.00, 79.00, 64.00, 75.00, 71.00, 87.00, 87.00, 84.00, 0.00, 75.00, 50.00
66.00, 63.00, 65.00, 61.00, 77.00, 55.00, 51.00, 72.00, 45.00, 68.00, 0.00, 66.00
58.00, 63.00, 53.00, 56.00, 58.00, 68.50, 71.50, 75.00, 59.00, 62.50, 55.00, 0.00
