0.00, 0.44, 0.56, 0.58, 0.55, 0.51, 0.48, 0.54, 0.51, 0.00, 0.52, 0.00, 0.59, 0.59
0.56, 0.00, 0.56, 0.57, 0.57, 0.55, 0.50, 0.52, 0.56, 0.71, 0.54, 0.00, 0.00, 0.00
0.44, 0.44, 0.00, 0.56, 0.00, 0.45, 0.43, 0.41, 0.47, 0.00, 0.46, 0.47, 0.46, 0.46
0.42, 0.43, 0.44, 0.00, 0.52, 0.44, 0.49, 0.00, 0.00, 0.51, 0.49, 0.49, 0.00, 0.00
0.45, 0.43, 0.00, 0.48, 0.00, 0.00, 0.46, 0.49, 0.47, 0.53, 0.49, 0.49, 0.51, 0.51
0.49, 0.45, 0.55, 0.56, 0.00, 0.00, 0.47, 0.47, 0.55, 0.00, 0.48, 0.54, 0.00, 0.00
0.52, 0.50, 0.57, 0.51, 0.54, 0.53, 0.00, 0.00, 0.00, 0.55, 0.56, 0.54, 0.51, 0.51
0.46, 0.48, 0.59, 0.00, 0.51, 0.53, 0.00, 0.00, 0.56, 0.56, 0.00, 0.54, 0.52, 0.52
0.49, 0.44, 0.53, 0.00, 0.53, 0.45, 0.00, 0.44, 0.00, 0.51, 0.00, 0.53, 0.55, 0.55
0.00, 0.29, 0.00, 0.49, 0.47, 0.00, 0.45, 0.44, 0.49, 0.00, 0.59, 0.50, 0.47, 0.47
0.48, 0.46, 0.54, 0.51, 0.51, 0.52, 0.44, 0.00, 0.00, 0.41, 0.00, 0.00, 0.51, 0.51
0.00, 0.00, 0.53, 0.51, 0.51, 0.46, 0.46, 0.46, 0.47, 0.50, 0.00, 0.00, 0.52, 0.52
0.41, 0.00, 0.54, 0.00, 0.49, 0.00, 0.49, 0.48, 0.45, 0.53, 0.49, 0.48, 0.00, 0.00
0.00, 0.00, 0.00, 0.54, 0.48, 0.47, 0.47, 0.51, 0.48, 0.48, 0.47, 0.49, 0.51, 0.51
